Padrón de Mercaderías;;;;;;
;;;;;;
Fecha de Emision: 26/11/2025 Hora: 10:16;;;;;;
Estados: Activa;;;;;;
Incluyendo Mercaderías sin Fabricante;;;;;;
;;;;;;
Código;Código de Barras;Nombre;Unidad Base;Fabricante;Marca;Tipo Producto
10019;813168010190;PELUCHE HUGGLEHOUNDS OCTAVIE PULPO (L) - 10019 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10025;7790187339613;ROYAL CANIN PERRO MINI PUPPY 1 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10028;813168010282;PELUCHE HUGGLEHOUNDS FIONA RANA (L) - 10028 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10030;7790187339620;ROYAL CANIN PERRO MINI PUPPY 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
1004;7908320401046;PRIMOCAO ORIGINAL ADULTO 7 KG;;DISTRICO;PRIMOCAO;Mercadería / Simple
10040;7790187340435;ROYAL CANIN PERRO MINI ADULT 1 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10041;813168010411;PELUCHE HUGGLEHOUNDS ELLAMAE ELEFANTE (S) - 10041 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10042;813168010428;PELUCHE HUGGLEHOUNDS ELLAMAE ELEFANTE (L) - 10042 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10045;7790187340428;ROYAL CANIN PERRO MINI ADULT 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10046;;CAMA GATO HUGGLEHOUNDS HUGGLESNUGGLER (XS) - 10046;;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10048.048.G;7908661203347;FREE FARO ARNÉS AIR GUANABARA (G);;FERPLAST;FREE FARO;Mercadería / Simple
10048.048.M;7908661203347;FREE FARO ARNÉS AIR GUANABARA (M);;FERPLAST;FREE FARO;Mercadería / Simple
10048.048.P;796167946526;FREE FARO ARNÉS AIR GUANABARA (P);;FERPLAST;FREE FARO;Mercadería / Simple
10048.048.PP;796167946519;FREE FARO ARNÉS AIR GUANABARA (PP);;FERPLAST;FREE FARO;Mercadería / Simple
10049;10049;DESPARASITANTE INTERNO APPRYL - 1 COMPRIMIDO;;SERVIVET;APPRYL;Mercadería / Simple
10050D;7898510456119;PRIMOCAO ORIGINAL ADULTO 20+2 KG;;DISTRICO;PRIMOCAO;Mercadería / Simple
10050W;7790187340473;ROYAL CANIN PERRO MINI ADULT 7.5 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10060;7790187340510;ROYAL CANIN PERRO MINI ADULT (8+) 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10062.062.G;7908661203347;FREE FARO ARNÉS AIR CHECKERS (G);;FERPLAST;FREE FARO;Mercadería / Simple
10062.062.M;7908661200605;FREE FARO ARNÉS AIR CHECKERS (M);;FERPLAST;FREE FARO;Mercadería / Simple
10062.062.P;7908661200599;FREE FARO ARNÉS AIR CHECKERS (P);;FERPLAST;FREE FARO;Mercadería / Simple
10062.062.PP;7908661200582;FREE FARO ARNÉS AIR CHECKERS (PP);;FERPLAST;FREE FARO;Mercadería / Simple
10071;813168010718;PELUCHE HUGGLEHOUNDS BITSY CONEJO ROSADO (L) - 10071 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10075;813168010756;PELUCHE HUGGLEHOUNDS REGGIE MAPACHE (L) - 10075 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10079.079.G;7908661203347;FREE FARO ARNÉS AIR DARKEST (G);;FERPLAST;FREE FARO;Mercadería / Simple
10079.079.M;7908661203347;FREE FARO ARNÉS AIR DARKEST (M);;FERPLAST;FREE FARO;Mercadería / Simple
10079.079.P;7908661203132;FREE FARO ARNÉS AIR DARKEST (P);;FERPLAST;FREE FARO;Mercadería / Simple
10079.079.PP;7908661203125;FREE FARO ARNÉS AIR DARKEST (PP);;FERPLAST;FREE FARO;Mercadería / Simple
10080.080.G;7908661203347;FREE FARO ARNÉS AIR LILAC (G);;FERPLAST;FREE FARO;Mercadería / Simple
10080.080.M;7908661203347;FREE FARO ARNÉS AIR LILAC (M);;FERPLAST;FREE FARO;Mercadería / Simple
10080.080.P;7908661203477;FREE FARO ARNÉS AIR LILAC (P);;FERPLAST;FREE FARO;Mercadería / Simple
10080.080.PP;7908661203460;FREE FARO ARNÉS AIR LILAC (PP);;FERPLAST;FREE FARO;Mercadería / Simple
10100;7790187339699;ROYAL CANIN PERRO MEDIUM PUPPY 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10100015;7896588968527;EQUILIBRIO CACHORRO RAZA MEDIANA 2.5 KG;;SADENIR;EQUILIBRIO;Mercadería / Simple
10100016;7896588968473;EQUILIBRIO CACHORRO RAZA PEQUEÑA 1,5 KG;;SADENIR;EQUILIBRIO;Mercadería / Simple
10100017;7896588968534;EQUILIBRIO ADULTO RAZA MEDIANA 2,5 KG;;SADENIR;EQUILIBRIO;Mercadería / Simple
10100018;7896588968480;EQUILIBRIO ADULTO RAZA PEQUEÑA 1,5 KG;;SADENIR;EQUILIBRIO;Mercadería / Simple
10100019;7896588968503;EQUILIBRIO LIGHT RAZA PEQUEÑA 1,5 KG;;SADENIR;EQUILIBRIO;Mercadería / Simple
10100020;7896588968497;EQUILIBRIO MATURE RAZA PEQUEÑA 1,5 KG;;SADENIR;EQUILIBRIO;Mercadería / Simple
10105;7790187339705;ROYAL CANIN PERRO MEDIUM PUPPY 15 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10105H;813168011050;PELUCHE HUGGLEHOUNDS MORRIS ALCE (S) - 10105H (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10106;813168011067;PELUCHE HUGGLEHOUNDS BITSY CONEJO ROSADO (S) - 10106 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10106299;6953182721109;CORTA UÑAS MPETS - S - 10106299;;PET CARE;MPETS;Mercadería / Simple
10107;813168011074;PELUCHE HUGGLEHOUNDS REGGIE MAPACHE (S) - 10107 (X);;USA PET;HUGGLEHOUNDS;Mercadería / Simple
10109799;6953182727637;REMOVEDOR DE LAGANAS MPETS - 10109799;;PET CARE;MPETS;Mercadería / Simple
10110;7790187339640;ROYAL CANIN PERRO MEDIUM ADULT 3 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10110799;6953182729785;PASTA DENTAL + CEPILLOS - MPETS - 10110799;;PET CARE;MPETS;Mercadería / Simple
10115;7790187340619;ROYAL CANIN PERRO MEDIUM ADULT 7.5 KG;;WINDIES;ROYAL CANIN;Mercadería / Simple
10116199;6953182735007;PAÑALES M-PETS - MACHO - S - 10116199;;PET CARE;MPETS;Mercadería / Simple
